time 164.76, 7.031250% cpu usage
time 165.26, 5.468750% cpu usage
time 165.76, 6.250000% cpu usage
time 166.26, 6.201550% cpu usage
time 166.76, 2.325581% cpu usage
time 167.26, 7.086614% cpu usage
time 167.77, 6.106870% cpu usage
time 168.27, 7.031250% cpu usage
time 168.77, 7.812500% cpu usage
time 169.27, 6.250000% cpu usage
time 169.77, 5.468750% cpu usage
time 170.27, 6.250000% cpu usage
time 170.77, 7.031250% cpu usage
time 171.27, 5.468750% cpu usage
time 171.77, 5.468750% cpu usage
time 172.27, 7.031250% cpu usage
time 172.77, 6.250000% cpu usage
time 173.27, 6.250000% cpu usage
time 173.77, 8.593750% cpu usage
time 174.28, 6.250000% cpu usage
time 174.78, 5.468750% cpu usage
time 175.28, 5.468750% cpu usage
time 175.78, 7.031250% cpu usage
time 176.28, 5.468750% cpu usage
time 176.78, 7.031250% cpu usage
time 177.28, 7.031250% cpu usage
time 177.78, 7.812500% cpu usage
time 178.28, 8.593750% cpu usage
time 178.78, 10.156250% cpu usage
time 179.28, 8.333333% cpu usage
time 179.78, 7.874016% cpu usage
time 180.28, 7.751938% cpu usage
time 180.78, 7.031250% cpu usage
time 181.28, 8.593750% cpu usage
time 181.78, 6.250000% cpu usage
time 182.28, 6.250000% cpu usage
time 182.78, 5.468750% cpu usage
time 183.28, 7.812500% cpu usage
time 183.79, 7.812500% cpu usage
time 184.29, 7.812500% cpu usage
time 184.79, 6.250000% cpu usage
time 185.29, 7.031250% cpu usage
time 185.79, 7.031250% cpu usage
time 186.29, 8.593750% cpu usage
time 186.79, 7.812500% cpu usage
time 187.29, 4.687500% cpu usage
time 187.79, 7.031250% cpu usage
time 188.29, 6.250000% cpu usage
time 188.79, 8.593750% cpu usage
time 189.29, 6.250000% cpu usage
time 189.79, 7.031250% cpu usage
time 190.30, 6.870229% cpu usage
time 190.80, 6.299213% cpu usage
time 191.30, 7.874016% cpu usage
time 191.80, 6.201550% cpu usage
time 192.30, 5.384615% cpu usage
time 192.80, 5.511811% cpu usage
time 193.30, 7.812500% cpu usage
time 193.80, 6.976744% cpu usage
time 194.30, 7.812500% cpu usage
time 194.80, 6.250000% cpu usage
time 195.30, 7.812500% cpu usage
time 195.80, 7.086614% cpu usage
time 196.30, 6.201550% cpu usage
time 196.80, 7.031250% cpu usage
time 197.30, 5.468750% cpu usage
time 197.80, 7.031250% cpu usage
time 198.30, 6.250000% cpu usage
time 198.81, 6.250000% cpu usage
time 199.31, 7.812500% cpu usage
time 199.81, 4.687500% cpu usage
